date,title,link,location
30.06.2025 16:26 Uhr,Mann beschädigt Fenster einer Kirche,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575591.php,Ereignisort:Pankow
30.06.2025 16:22 Uhr,Feuer auf Großbaustelle eines Hochhauses,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575590.php,Ereignisort:Mitte
30.06.2025 12:57 Uhr,Tödlicher Verkehrsunfall mit Fahrerflucht - Polizei such Zeuginnen und Zeugen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575449.php,Ereignisort:Steglitz-Zehlendorf
30.06.2025 12:53 Uhr,Fahrzeuge mit verfassungswidrigen Symbolen beschmiert,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575442.php,Ereignisort:Reinickendorf
30.06.2025 11:49 Uhr,Kind angefahren und geflüchtet – Polizei Berlin sucht Zeuginnen und Zeugen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575312.php,Ereignisort:Mitte
30.06.2025 10:59 Uhr,Gegenseitig mit Glasflaschen und Stühlen beworfen,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575329.php,Ereignisort:Neukölln
30.06.2025 10:45 Uhr,"Ein Fahrzeug ausgebrannt, zwei weitere beschädigt",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575316.php,Ereignisort:Lichtenberg
30.06.2025 10:42 Uhr,Angriff mit rassistischem Hintergrund,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575314.php,Ereignisort:Tempelhof-Schöneberg
30.06.2025 08:35 Uhr,Jugendliches Räubertrio gesucht - Wer erkennt die Tatverdächtigen?,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575163.php,Ereignisort:Friedrichshain-Kreuzberg
29.06.2025 14:24 Uhr,Ermittlungen nach Beleidigung und gefährlicher Körperverletzung in Schöneberg,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575035.php,Ereignisort:Tempelhof-Schöneberg
29.06.2025 13:29 Uhr,Jugendlicher nach Auseinandersetzung im Krankenhaus,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1575018.php,Ereignisort:Treptow-Köpenick
